Sample,Synthesis,Treatment,Initial sample temperature (K),Yield stress (Mpa),Ultimate  stress (Mpa),KIC (Mpa*m^0.5),Hardness,B (Gpa) ,G (Gpa),E (Gpa) ,Mu,Melting point (K),Sample thickness (mm),Sample diameter (mm),Grain size (µm),Initial density (g/cm3),Longitudinal sound speed (m/s),Shear sound speed (ms),Bulk sound speed (m/s),Flyer,Flyer (processed),Flyer thickness (mm),Flyer diameter (mm),impact velocity (m/s),Peak Stress (Gpa),Strain rate (10^5 s^-1),Pulse duration (µs),Type of experiment,Gas gun diameter (mm),Spall (Gpa),Spall direction,Refereces
AF9628,"The material received was melted using an argon-oxygendecarburization (AOD) furnace and was then further vacuum- arc-remelted (VAR) for cleanliness before being forged into a 101 mm diameter bar and then machined. For the small experiments, the bar was machined to 25.4 mm diameter, and then the 25.4 mm diameter bar was heat treated via normalization at 1010 °C ± 10 °C for 1 h and air cooled, then subcritical anneal at 677 °C ± 10 °C for 4 h and aircooled, followed by austenization at 1010 °C ± 10 °C for 1 h and water quenched to room temperature, and finally tempered at 204 °C ± 10 °C for 4 h and air cooled.",,,1320±12,1728±11,129,49,165,80,208,0.29,,6.195,50.8,72.5,7.77±0.02,5920±60,3217±2,4605,AF9628,1,2.114,96.5,0.45,,0.6,,"101 mm bore, single stage gas gun",101,5.52,,"Neel, C., Gibbons, S., Abrahams, R., & House, J. (2020). Shock and Spall in the Low-alloy Steel AF9628. Journal of Dynamic Behavior of Materials, 6(1), 64-77."
AF9628,"The material received was melted using an argon-oxygendecarburization (AOD) furnace and was then further vacuum- arc-remelted (VAR) for cleanliness before being forged into a 101 mm diameter bar and then machined. For the small experiments, the bar was machined to 25.4 mm diameter, and then the 25.4 mm diameter bar was heat treated via normalization at 1010 °C ± 10 °C for 1 h and air cooled, then subcritical anneal at 677 °C ± 10 °C for 4 h and aircooled, followed by austenization at 1010 °C ± 10 °C for 1 h and water quenched to room temperature, and finally tempered at 204 °C ± 10 °C for 4 h and air cooled.",,,1320±12,1728±11,129,49,165,80,208,0.29,,6.19,50.8,72.5,7.77±0.02,5920±60,3217±2,4605,AF9628,1,2.115,96.5,0.452,,0.6,,"101 mm bore, single stage gas gun",101,5.38,,"Neel, C., Gibbons, S., Abrahams, R., & House, J. (2020). Shock and Spall in the Low-alloy Steel AF9628. Journal of Dynamic Behavior of Materials, 6(1), 64-77."
AF9628,"The material received was melted using an argon-oxygendecarburization (AOD) furnace and was then further vacuum- arc-remelted (VAR) for cleanliness before being forged into a 101 mm diameter bar and then machined. For the small experiments, the bar was machined to 25.4 mm diameter, and then the 25.4 mm diameter bar was heat treated via normalization at 1010 °C ± 10 °C for 1 h and air cooled, then subcritical anneal at 677 °C ± 10 °C for 4 h and aircooled, followed by austenization at 1010 °C ± 10 °C for 1 h and water quenched to room temperature, and finally tempered at 204 °C ± 10 °C for 4 h and air cooled.",,,1320±12,1728±11,129,49,165,80,208,0.29,,2.996,25.4,72.5,7.77±0.02,5920±60,3217±2,4605,AF9628,1,1.617,25.4,0.511,,1.1,,"101 mm bore, single stage gas gun",101,5.59,,"Neel, C., Gibbons, S., Abrahams, R., & House, J. (2020). Shock and Spall in the Low-alloy Steel AF9628. Journal of Dynamic Behavior of Materials, 6(1), 64-77."
LDX 2101,A hot-rolled plate of LDX 2101 with 20 mm thickness made by Outokumpo® was utilised. The plate was subjected to a heat treatment at 1050 ◦C followed by water quenching to achieve 50/50 volume fractions of ferrite and austenite phases,,,480,694,100,306,167,77,200,0.3,1658,3,15,46,7.7,5812±22,3340±5,4348±23,LDX 2101,1,1.52,60,180,3.1,,0.4,light gas gun,,2.3,,"Ameri, A., Wang, H., Li, Z., Quadir, Z., Gonzalez, M., Hazell, P. J., & Escobedo-Diaz, J. P. (2022). Spall strength dependence on peak stress and deformation history in Lean Duplex Stainless Steel 2101. Materials Science and Engineering: A, 831, 142158."
LDX 2101,A hot-rolled plate of LDX 2101 with 20 mm thickness made by Outokumpo® was utilised. The plate was subjected to a heat treatment at 1050 ◦C followed by water quenching to achieve 50/50 volume fractions of ferrite and austenite phases,,,480,694,100,306,167,77,200,0.3,1658,2.99,15,46,7.7,5812±22,3340±5,4348±23,LDX 2101,1,1.51,60,190,3.3,,0.4,light gas gun,,2.4,,"Ameri, A., Wang, H., Li, Z., Quadir, Z., Gonzalez, M., Hazell, P. J., & Escobedo-Diaz, J. P. (2022). Spall strength dependence on peak stress and deformation history in Lean Duplex Stainless Steel 2101. Materials Science and Engineering: A, 831, 142158."
LDX 2101,A hot-rolled plate of LDX 2101 with 20 mm thickness made by Outokumpo® was utilised. The plate was subjected to a heat treatment at 1050 ◦C followed by water quenching to achieve 50/50 volume fractions of ferrite and austenite phases,,,480,694,100,306,167,77,200,0.3,1658,2.96,15,46,7.7,5812±22,3340±5,4348±23,LDX 2101,1,1.46,60,355,6.3,,0.4,light gas gun,,2.8,,"Ameri, A., Wang, H., Li, Z., Quadir, Z., Gonzalez, M., Hazell, P. J., & Escobedo-Diaz, J. P. (2022). Spall strength dependence on peak stress and deformation history in Lean Duplex Stainless Steel 2101. Materials Science and Engineering: A, 831, 142158."
LDX 2101,A hot-rolled plate of LDX 2101 with 20 mm thickness made by Outokumpo® was utilised. The plate was subjected to a heat treatment at 1050 ◦C followed by water quenching to achieve 50/50 volume fractions of ferrite and austenite phases,,,480,694,100,306,167,77,200,0.3,1658,3.1,15,46,7.7,5812±22,3340±5,4348±23,LDX 2101,1,1.53,60,175,3,,0.4,light gas gun,,2.4,,"Ameri, A., Wang, H., Li, Z., Quadir, Z., Gonzalez, M., Hazell, P. J., & Escobedo-Diaz, J. P. (2022). Spall strength dependence on peak stress and deformation history in Lean Duplex Stainless Steel 2101. Materials Science and Engineering: A, 831, 142158."
LDX 2101,A hot-rolled plate of LDX 2101 with 20 mm thickness made by Outokumpo® was utilised. The plate was subjected to a heat treatment at 1050 ◦C followed by water quenching to achieve 50/50 volume fractions of ferrite and austenite phases,,,480,694,100,306,167,77,200,0.3,1658,3.01,15,46,7.7,5812±22,3340±5,4348±23,LDX 2101,1,1.52,60,345,6.2,,0.4,light gas gun,,2.8,,"Ameri, A., Wang, H., Li, Z., Quadir, Z., Gonzalez, M., Hazell, P. J., & Escobedo-Diaz, J. P. (2022). Spall strength dependence on peak stress and deformation history in Lean Duplex Stainless Steel 2101. Materials Science and Engineering: A, 831, 142158."
SS304,"The material investigated in the present study is a commercial 304 stainless steel with a chemical composition (in weight percent) of Cr 17.27%, Ni 8.31%, Mn 1.63%, Si 0.56%, balanced by Fe. The starting 304 stainless steel is an annealed rolled block, and consists of a single metastable austenitic γ phase with a face-centered-cubic (fcc) structure,",,,228,510,174,129,151,76,193,0.29,1662,1.52,8.9,32,7.93,5763.33,3136.66,4480,,1,0.75,13.4,196,3.57,0.75,,14-mm bore single-stage gas gun,14,2.17,Parallel,"Ma, L., Liu, J. Y., Li, C., Zhong, Z. Y., Lu, L., & Luo, S. N. (2019). Effects of alloying element segregation bands on impact response of a 304 stainless steel. Materials Characterization, 153, 294-303."
SS304,"The material investigated in the present study is a commercial 304 stainless steel with a chemical composition (in weight percent) of Cr 17.27%, Ni 8.31%, Mn 1.63%, Si 0.56%, balanced by Fe. The starting 304 stainless steel is an annealed rolled block, and consists of a single metastable austenitic γ phase with a face-centered-cubic (fcc) structure,",,,228,510,174,129,151,76,193,0.29,1662,1.53,8.9,32,7.93,5763.33,3136.66,4480,,1,0.76,13.4,248,4.75,0.87,,14-mm bore single-stage gas gun,14,2.34,Parallel,"Ma, L., Liu, J. Y., Li, C., Zhong, Z. Y., Lu, L., & Luo, S. N. (2019). Effects of alloying element segregation bands on impact response of a 304 stainless steel. Materials Characterization, 153, 294-303."
SS304,"The material investigated in the present study is a commercial 304 stainless steel with a chemical composition (in weight percent) of Cr 17.27%, Ni 8.31%, Mn 1.63%, Si 0.56%, balanced by Fe. The starting 304 stainless steel is an annealed rolled block, and consists of a single metastable austenitic γ phase with a face-centered-cubic (fcc) structure,",,,228,510,174,129,151,76,193,0.29,1662,1.51,8.9,32,7.93,5763.33,3136.66,4480,,1,0.75,13.4,300,5.54,0.91,,14-mm bore single-stage gas gun,14,2.31,Parallel,"Ma, L., Liu, J. Y., Li, C., Zhong, Z. Y., Lu, L., & Luo, S. N. (2019). Effects of alloying element segregation bands on impact response of a 304 stainless steel. Materials Characterization, 153, 294-303."
SS304,"The material investigated in the present study is a commercial 304 stainless steel with a chemical composition (in weight percent) of Cr 17.27%, Ni 8.31%, Mn 1.63%, Si 0.56%, balanced by Fe. The starting 304 stainless steel is an annealed rolled block, and consists of a single metastable austenitic γ phase with a face-centered-cubic (fcc) structure,",,,228,510,174,129,151,76,193,0.29,1662,1.52,8.9,32,7.93,5763.33,3136.66,4480,,1,0.76,13.4,365,6.72,0.95,,14-mm bore single-stage gas gun,14,2.22,Parallel,"Ma, L., Liu, J. Y., Li, C., Zhong, Z. Y., Lu, L., & Luo, S. N. (2019). Effects of alloying element segregation bands on impact response of a 304 stainless steel. Materials Characterization, 153, 294-303."
SS304,"The material investigated in the present study is a commercial 304 stainless steel with a chemical composition (in weight percent) of Cr 17.27%, Ni 8.31%, Mn 1.63%, Si 0.56%, balanced by Fe. The starting 304 stainless steel is an annealed rolled block, and consists of a single metastable austenitic γ phase with a face-centered-cubic (fcc) structure,",,,228,510,174,129,151,76,193,0.29,1662,1.54,8.9,32,7.93,5763.33,3136.66,4480,,1,0.77,13.4,414,7.68,1.08,,14-mm bore single-stage gas gun,14,2.32,Parallel,"Ma, L., Liu, J. Y., Li, C., Zhong, Z. Y., Lu, L., & Luo, S. N. (2019). Effects of alloying element segregation bands on impact response of a 304 stainless steel. Materials Characterization, 153, 294-303."
SS304,"The material investigated in the present study is a commercial 304 stainless steel with a chemical composition (in weight percent) of Cr 17.27%, Ni 8.31%, Mn 1.63%, Si 0.56%, balanced by Fe. The starting 304 stainless steel is an annealed rolled block, and consists of a single metastable austenitic γ phase with a face-centered-cubic (fcc) structure,",,,228,510,174,129,151,76,193,0.29,1662,1.55,8.9,32,7.93,5763.33,3136.66,4480,,1,0.76,13.4,489,9.37,1.29,,14-mm bore single-stage gas gun,14,2.36,Parallel,"Ma, L., Liu, J. Y., Li, C., Zhong, Z. Y., Lu, L., & Luo, S. N. (2019). Effects of alloying element segregation bands on impact response of a 304 stainless steel. Materials Characterization, 153, 294-303."
SS304,"The material investigated in the present study is a commercial 304 stainless steel with a chemical composition (in weight percent) of Cr 17.27%, Ni 8.31%, Mn 1.63%, Si 0.56%, balanced by Fe. The starting 304 stainless steel is an annealed rolled block, and consists of a single metastable austenitic γ phase with a face-centered-cubic (fcc) structure,",,,228,510,174,129,151,76,193,0.29,1662,1.53,8.9,32,7.93,5763.33,3136.66,4480,,1,0.76,13.4,198,3.66,0.73,,14-mm bore single-stage gas gun,14,2.13,Prependicular,"Ma, L., Liu, J. Y., Li, C., Zhong, Z. Y., Lu, L., & Luo, S. N. (2019). Effects of alloying element segregation bands on impact response of a 304 stainless steel. Materials Characterization, 153, 294-303."
SS304,"The material investigated in the present study is a commercial 304 stainless steel with a chemical composition (in weight percent) of Cr 17.27%, Ni 8.31%, Mn 1.63%, Si 0.56%, balanced by Fe. The starting 304 stainless steel is an annealed rolled block, and consists of a single metastable austenitic γ phase with a face-centered-cubic (fcc) structure,",,,228,510,174,129,151,76,193,0.29,1662,1.55,8.9,32,7.93,5763.33,3136.66,4480,,1,0.77,13.4,252,4.67,0.85,,14-mm bore single-stage gas gun,14,2.18,Prependicular,"Ma, L., Liu, J. Y., Li, C., Zhong, Z. Y., Lu, L., & Luo, S. N. (2019). Effects of alloying element segregation bands on impact response of a 304 stainless steel. Materials Characterization, 153, 294-303."
SS304,"The material investigated in the present study is a commercial 304 stainless steel with a chemical composition (in weight percent) of Cr 17.27%, Ni 8.31%, Mn 1.63%, Si 0.56%, balanced by Fe. The starting 304 stainless steel is an annealed rolled block, and consists of a single metastable austenitic γ phase with a face-centered-cubic (fcc) structure,",,,228,510,174,129,151,76,193,0.29,1662,1.54,8.9,32,7.93,5763.33,3136.66,4480,,1,0.77,13.4,303,5.52,0.96,,14-mm bore single-stage gas gun,14,2.39,Prependicular,"Ma, L., Liu, J. Y., Li, C., Zhong, Z. Y., Lu, L., & Luo, S. N. (2019). Effects of alloying element segregation bands on impact response of a 304 stainless steel. Materials Characterization, 153, 294-303."
SS304,"The material investigated in the present study is a commercial 304 stainless steel with a chemical composition (in weight percent) of Cr 17.27%, Ni 8.31%, Mn 1.63%, Si 0.56%, balanced by Fe. The starting 304 stainless steel is an annealed rolled block, and consists of a single metastable austenitic γ phase with a face-centered-cubic (fcc) structure,",,,228,510,174,129,151,76,193,0.29,1662,1.55,8.9,32,7.93,5763.33,3136.66,4480,,1,0.78,13.4,370,7.06,1.08,,14-mm bore single-stage gas gun,14,2.4,Prependicular,"Ma, L., Liu, J. Y., Li, C., Zhong, Z. Y., Lu, L., & Luo, S. N. (2019). Effects of alloying element segregation bands on impact response of a 304 stainless steel. Materials Characterization, 153, 294-303."
SS304,"The material investigated in the present study is a commercial 304 stainless steel with a chemical composition (in weight percent) of Cr 17.27%, Ni 8.31%, Mn 1.63%, Si 0.56%, balanced by Fe. The starting 304 stainless steel is an annealed rolled block, and consists of a single metastable austenitic γ phase with a face-centered-cubic (fcc) structure,",,,228,510,174,129,151,76,193,0.29,1662,1.56,8.9,32,7.93,5763.33,3136.66,4480,,1,0.76,13.4,410,7.81,1.1,,14-mm bore single-stage gas gun,14,2.39,Prependicular,"Ma, L., Liu, J. Y., Li, C., Zhong, Z. Y., Lu, L., & Luo, S. N. (2019). Effects of alloying element segregation bands on impact response of a 304 stainless steel. Materials Characterization, 153, 294-303."
SS304,"The material investigated in the present study is a commercial 304 stainless steel with a chemical composition (in weight percent) of Cr 17.27%, Ni 8.31%, Mn 1.63%, Si 0.56%, balanced by Fe. The starting 304 stainless steel is an annealed rolled block, and consists of a single metastable austenitic γ phase with a face-centered-cubic (fcc) structure,",,,228,510,174,129,151,76,193,0.29,1662,1.55,8.9,32,7.93,5763.33,3136.66,4480,,1,0.77,13.4,460,8.83,1.24,,14-mm bore single-stage gas gun,14,2.21,Prependicular,"Ma, L., Liu, J. Y., Li, C., Zhong, Z. Y., Lu, L., & Luo, S. N. (2019). Effects of alloying element segregation bands on impact response of a 304 stainless steel. Materials Characterization, 153, 294-303."
SS316L ,"Long process, see section 2.1",AM,,,,,,,,,,,5,5,4.5,7.96,5730,,4474,SS316L Wrouhgt,1,2.5,,257,4.72,,,80-mm singlestage gas gun,80,2.87,,"Gray III, G. T., Livescu, V., Rigg, P. A., Trujillo, C. P., Cady, C. M., Chen, S. R., ... & Fensin, S. J. (2017). Structure/property (constitutive and spallation response) of additively manufactured 316L stainless steel. Acta Materialia, 138, 140-149."
SS316L ,"Long process, see section 2.1",AM+Recrystall,,,,,,,,,,,5,5,59,7.96,5720,,4464,SS316L Wrouhgt,1,2.5,,257,4.71,,,80-mm singlestage gas gun,80,3.43,,"Gray III, G. T., Livescu, V., Rigg, P. A., Trujillo, C. P., Cady, C. M., Chen, S. R., ... & Fensin, S. J. (2017). Structure/property (constitutive and spallation response) of additively manufactured 316L stainless steel. Acta Materialia, 138, 140-149."
SS316L ,"Long process, see section 2.1",Wrouhgt,,,,,,,,,,,5,5,29,7.96,5700,,4350,SS316L Wrouhgt,1,2.5,,257,4.65,,,80-mm singlestage gas gun,80,2.57,,"Gray III, G. T., Livescu, V., Rigg, P. A., Trujillo, C. P., Cady, C. M., Chen, S. R., ... & Fensin, S. J. (2017). Structure/property (constitutive and spallation response) of additively manufactured 316L stainless steel. Acta Materialia, 138, 140-149."
SS316L ,"Long process, see section 2.1",AM,,,,,,,,,,,5,5,4.5,7.96,5730,,4474,SS316L Wrouhgt,1,2.5,,350,6.52,,,80-mm singlestage gas gun,80,2.29,,"Gray III, G. T., Livescu, V., Rigg, P. A., Trujillo, C. P., Cady, C. M., Chen, S. R., ... & Fensin, S. J. (2017). Structure/property (constitutive and spallation response) of additively manufactured 316L stainless steel. Acta Materialia, 138, 140-149."
SS316L ,"Long process, see section 2.1",AM+Recrystall,,,,,,,,,,,5,5,59,7.96,5720,,4464,SS316L Wrouhgt,1,2.5,,350,6.51,,,80-mm singlestage gas gun,80,2.64,,"Gray III, G. T., Livescu, V., Rigg, P. A., Trujillo, C. P., Cady, C. M., Chen, S. R., ... & Fensin, S. J. (2017). Structure/property (constitutive and spallation response) of additively manufactured 316L stainless steel. Acta Materialia, 138, 140-149."
